name,ra,dec,vmag
アルフェッカ,13 47 32.5461,+49 18 47.890,1.85
アルゴル,03 24 19.3485,+49 51 40.474,1.79
HIP 111169,22 31 17.3758,+50 16 56.819,3.76
エルタニン,17 56 36.3779,+51 29 20.224,2.24
HIP 46853,09 32 52.3253,+51 40 42.967,3.17
HIP 95853,19 29 42.3393,+51 43 46.083,3.76
HIP 85670,17 30 25.9769,+52 18 04.892,2.79
HIP 13531,02 54 15.4625,+52 45 44.964,3.93
HIP 94779,19 17 06.1099,+53 22 05.378,3.80
HIP 14328,03 04 47.7902,+53 30 23.221,2.91
デネボラ,11 53 49.7413,+53 41 41.039,2.41
HIP 2920,00 36 58.2670,+53 53 48.954,3.69
HIP 28358,05 59 31.5503,+54 17 05.935,3.72
